id,uid,uid,name,nums,y,x
1,153,153,ברקלי,1,-122.27,37.87
2,154,154,ברשוב,1,25.08,46.05
3,155,155,גבים,1,34.59,31.5
4,156,156,גבעת ברנר,3,34.8,31.86
5,157,157,גבעת השלשה,10,34.92,32.09
6,158,158,גבעת חיים (אחוד),1,34.93,32.39
7,159,159,גבת,5,35.21,32.67
8,160,160,גוטנבורג,1,11.97,57.7
9,161,161,גוריציה,5,13.62,45.94
10,162,162,גזר (קבוץ),1,34.92,31.87
11,163,163,גטבורג,1,11.97,57.7
12,164,164,גטינגן,1,9.91,51.54
13,165,165,גיסן,2,8.67,50.58
14,166,166,גלאון,1,34.84,31.63
15,167,167,גלזגו,2,-4.25,55.86
16,168,168,גליל ים,1,34.83,32.15
17,169,169,גן שמואל,1,34.94,32.45
18,170,170,ג'נבה,29,6.14,46.19
19,171,171,גנוסר,2,35.52,32.84
20,172,172,גניגר,5,35.25,32.66
21,173,173,ג'רבה,285,10.84,33.8
22,174,174,גרמניה,86,10.45,51.16
23,175,175,ג'רסי סיטי,2,-74.07,40.72
24,176,176,גרץ,1,35.22,31.76
25,177,177,דבלין,2,-6.26,53.34
26,178,178,דברצין,7,21.62,47.53
27,179,179,דגניה,1,35.57,32.7
28,180,180,דגניה א (קבוץ),3,35.57,32.7
29,181,181,דגניה ב,6,35.57,32.69
30,182,182,דובנה,23,37.16,56.73
31,183,183,דוה,15,33.88,-13.6
32,184,184,דוקלה,2,21.68,49.55
33,185,185,דורהוביץ,1,23.51,49.35
34,186,186,דז',11,23.87,47.14
35,187,187,דליה,1,35.07,32.58
36,188,188,דמשק,1,36.28,33.49
37,189,189,דסאו,29,12.24,51.82
38,190,190,דפנה,5,35.16,31.76
39,191,191,דרוהוביץ',82,23.51,49.35
40,192,192,דרזדן,4,13.73,51.05
41,193,193,הג,20,4.29,52.07
42,194,194,הומל,2,30.98,52.44
43,195,195,הונגריה,6,19.5,47.16
44,196,196,הורדנה,93,23.81,53.66
45,197,197,החותרים,1,34.95,32.75
46,198,198,הילדסהים,1,9.95,52.15
47,199,199,הינדהובן,1,5.46,51.44
48,200,200,הלברשטט,23,11.04,51.89
49,201,201,הלה,15,11.96,51.49
50,202,202,הלסינקי,3,24.94,60.17
51,203,203,המבורג,96,9.99,53.55
52,204,204,המבורג  Hamburg,1,9.99,53.55
53,205,205,הנובר,72,9.73,52.37
54,206,206,הר הכרמל,1,35.21,31.78
55,207,207,הרצליה,4,34.84,32.16
56,208,208,ויז'ניץ,4,25.19,48.25
57,209,209,ויטבסק,5,30.2,55.18
58,210,210,ויטצ'פל,1,-0.07,51.51
59,211,211,וילנה,3729,25.27,54.68
60,212,212,וינה,1961,16.37,48.2
61,213,213,ויניפג,14,-97.13,49.89
62,214,214,ויניצה,2,28.46,49.23
63,215,215,ויצן,67,35.19,31.78
64,216,216,וירצבורג,1,9.95,49.79
65,217,217,וישי,1,3.42,46.13
66,218,218,ולנשטין,1,35.19,31.81
67,219,219,ונציה,740,12.31,45.44
68,220,220,וסלוי,1,27.72,46.64
69,221,221,ורונה,21,10.99,45.43
70,222,222,ורסי,2,2.13,48.8
71,223,223,ורשה,5826,21.01,52.22
72,224,224,ושינגטון,13,-77.03,38.9
73,225,225,זגרב,3,15.98,45.81
74,226,226,זיטומיר,292,28.65,50.25
75,227,227,זכרון יעקב,3,34.95,32.57
76,228,228,זמורה,1,35.22,31.78
77,229,229,זמושץ',3,23.25,50.72
78,230,230,זנוסקה וולה,1,18.93,51.59
79,231,231,חברון,1,35.09,31.53
80,232,232,חדרה,7,34.91,32.43
81,233,233,חולון,1,34.78,32.01
82,234,234,חולתה,3,35.6,33.05
83,235,235,חוסט,7,23.29,48.17
84,236,236,חיפה,123,34.98,32.79
85,237,237,חמדיה,1,35.52,32.51
86,238,238,חניתה,1,35.17,33.08
87,239,239,חפציבה,1,35.42,32.51
88,240,240,חצור (קבוץ),2,34.71,31.77
89,241,241,חרבין,3,126.53,45.8
90,242,242,חרקוב,66,36.23,49.99
91,243,243,טבריה,5,35.53,32.79
92,244,244,טהרן,11,51.38,35.68
93,245,245,טולוז,2,1.44,43.6
94,246,246,טורונטו,20,-79.38,43.65
95,247,247,טורינו,7,7.68,45.07
96,248,248,טורן,7,35.15,31.79
97,249,249,טורקה,4,23.02,49.15
98,250,250,טינג'ין,3,117.2,39.08
99,251,251,טלז,3,22.24,55.98
100,252,252,טלין,3,24.75,59.43
101,253,253,טנג'ר,9,-5.83,35.75
102,254,254,טרטו (אסטוניה),2,26.8,58.4
103,255,255,טריפולי,23,13.19,32.88
104,256,256,טריר,1,6.63,49.74
